Line,Statistical_SEM_A,Calibration_A,Total_quadrature_A,Final_reported_total_A
Hα,0.0040280268122245754,0.051,0.05115882133122302,0.052
Hβ,0.008409022931748156,0.038,0.0389192968418838,0.039
